ID,Creation year,Cielab b*,"No, hand folds",pH value,Recommended storage (based on pH),Recommended storage (based on hand folds),Overall storage recommenda-tion,Recommended use (based on hand folds),,,,,,,,,
12 KBS,1983,12.64,99,6.2,Cool,Room,Cool,Unrestricted,,,,,,,,,
12 LGV,1930,20.98,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
120 KBS,1886,15.04,9,4.9,Cold,Cool,Cold,Careful,,,,,,,,,
120 LGV,1937,8.6,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
121 KBS,1972,5.31,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
121 LGV,1816,13.14,99,4.9,Cold,Room,Cold,Unrestricted,,,,,,,,,
122 KBS,1960,7.19,99,4.9,Cold,Room,Cold,Unrestricted,,,,,,,,,
122 LGV,1948,6.09,99,4.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
123 KBS,1928,14.56,9,4.6,Cold,Cool,Cold,Careful,,,,,,,,,
123 LGV,1914,16.61,9,4.8,Cold,Cool,Cold,Careful,,,,,,,,,
124 KBS,1966,6.35,99,5.4,Cold,Room,Cold,Unrestricted,,,,,,,,,
124 LGV,1856,14.48,9,5,Cold,Cool,Cold,Careful,,,,,,,,,
125 KBS,1955,12.86,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
125 LGV,1878,10.29,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
126 KBS,1906,6.96,99,7.9,Room,Room,Room,Unrestricted,,,,,,,,,
126 LGV,1876,11.5,3,4.4,Cold,Cold,Cold,None,,,,,,,,,
127 KBS,1922,12.66,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
127 LGV,1922,15.58,9,4.7,Cold,Cool,Cold,Careful,,,,,,,,,
128 KBS,1889,21.42,3,5.2,Cold,Cold,Cold,None,,,,,,,,,
128 LGV,1926,11.76,99,4.9,Cold,Room,Cold,Unrestricted,,,,,,,,,
129 KBS,1925,13.76,99,6,Cool,Room,Cool,Unrestricted,,,,,,,,,
129 LGV,1875,10.79,99,5.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
13 DNLB,1806,14.32,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
13 KBS,1908,10.44,99,4.9,Cold,Room,Cold,Unrestricted,,,,,,,,,
13 LGV,1928,13.59,99,5.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
130 KBS,1923,14.47,99,5.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
130 LGV,1935,15.43,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
131 KBS,1958,9.18,99,5.4,Cold,Room,Cold,Unrestricted,,,,,,,,,
131 LGV,1923,16.62,99,4.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
132 KBS,1821,19.06,99,4.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
132 LGV,1922,13.08,99,4.3,Cold,Room,Cold,Unrestricted,,,,,,,,,
133 KBS,1893,21.21,3,4.5,Cold,Cold,Cold,None,,,,,,,,,
133 LGV,1862,10.98,99,4.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
134 KBS,1877,19.46,2,4.2,Cold,Cold,Cold,None,,,,,,,,,
134 LGV,1947,15.44,99,5.3,Cold,Room,Cold,Unrestricted,,,,,,,,,
135 KBS,1920,13.73,3,5.1,Cold,Cold,Cold,None,,,,,,,,,
135 LGV,1911,15.59,99,5.9,Cool,Room,Cool,Unrestricted,,,,,,,,,
136 KBS,1862,7.96,99,5.3,Cold,Room,Cold,Unrestricted,,,,,,,,,
136 LGV,1912,14.72,9,5.1,Cold,Cool,Cold,Careful,,,,,,,,,
137 KBS,1984,7.17,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
137 LGV,1914,13.45,12,5.2,Cold,Cool,Cold,Careful,,,,,,,,,
138 KBS,1860,13.16,3,7.7,Room,Cold,Cold,None,,,,,,,,,
138 LGV,1942,23.04,9,4.4,Cold,Cool,Cold,Careful,,,,,,,,,
139 KBS,1859,5.58,99,6.9,Cool,Room,Cool,Unrestricted,,,,,,,,,
139 LGV,1808,12.66,99,x,x,Room,x,Unrestricted,,,,,,,,,
14 DNLB,1877,12.33,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
14 KBS,1949,8.65,99,5.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
14 LGV,1821,15.88,99,4.8,Cold,Room,Cold,Unrestricted,,,,,,,,,
140 KBS,1985,1.25,99,6.2,Cool,Room,Cool,Unrestricted,,,,,,,,,
140 LGV,1832,13.38,6,5.7,Cool,Cool,Cool,Careful,,,,,,,,,
141 KBS,1971,11.55,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
141 LGV,1931,13.6,6,4.1,Freeze,Cool,Freeze,Careful,,,,,,,,,
142 KBS,1828,12.87,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
142 LGV,1948,16.83,12,4.3,Cold,Cool,Cold,Careful,,,,,,,,,
143 KBS,1903,12.83,99,5.7,Cool,Room,Cool,Unrestricted,,,,,,,,,
143 LGV,1838,10.14,99,4.8,Cold,Room,Cold,Unrestricted,,,,,,,,,
144 KBS,1936,16.82,9,4.6,Cold,Cool,Cold,Careful,,,,,,,,,
144 LGV,1929,12.7,6,4.6,Cold,Cool,Cold,Careful,,,,,,,,,
145 KBS,1912,13.13,12,5.1,Cold,Cool,Cold,Careful,,,,,,,,,
145 LGV,1888,13.2,3,5.8,Cool,Cold,Cold,None,,,,,,,,,
146 KBS,1983,-0.85,99,7.9,Room,Room,Room,Unrestricted,,,,,,,,,
146 LGV,1840,16.11,99,5.3,Cold,Room,Cold,Unrestricted,,,,,,,,,
147 KBS,1952,14.87,99,5.8,Cool,Room,Cool,Unrestricted,,,,,,,,,
147 LGV,1901,13.91,3,4.6,Cold,Cold,Cold,None,,,,,,,,,
148 KBS,1942,11.26,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
148 LGV,1964,6.96,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
149 KBS,1919,12.18,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
149 LGV,1972,5.9,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
15 KBS,1955,18.38,9,4.1,Freeze,Cool,Freeze,Careful,,,,,,,,,
15 LGV,1828,9.26,99,5.8,Cool,Room,Cool,Unrestricted,,,,,,,,,
150 KBS,1924,10.84,99,5.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
150 LGV,1964,12.86,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
151 KBS,1917,23.02,99,4.2,Cold,Room,Cold,Unrestricted,,,,,,,,,
151 LGV,1972,8.14,99,5.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
152 KBS,1853,9.76,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
152 LGV,1911,13.78,12,5.3,Cold,Cool,Cold,Careful,,,,,,,,,
153 KBS,1874,12.27,3,4.9,Cold,Cold,Cold,None,,,,,,,,,
153 LGV,1956,12,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
154 KBS,1958,7.14,99,4.8,Cold,Room,Cold,Unrestricted,,,,,,,,,
154 LGV,1915,10.57,12,5.6,Cold,Cool,Cold,Careful,,,,,,,,,
155 KBS,1929,15.97,12,4.5,Cold,Cool,Cold,Careful,,,,,,,,,
155 LGV,1967,5.37,99,4.9,Cold,Room,Cold,Unrestricted,,,,,,,,,
156 KBS,1884,14.4,9,5.5,Cold,Cool,Cold,Careful,,,,,,,,,
156 LGV,1821,10.2,99,5.2,Cold,Room,Cold,Unrestricted,,,,,,,,,
157 KBS,1929,8.86,9,5.3,Cold,Cool,Cold,Careful,,,,,,,,,
157 LGV,1831,15.53,12,4.7,Cold,Cool,Cold,Careful,,,,,,,,,
158 KBS,1803,11.47,99,5.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
158 LGV,1876,12.52,6,5.7,Cool,Cool,Cool,Careful,,,,,,,,,
159 KBS,1943,10.02,99,8.1,Room,Room,Room,Unrestricted,,,,,,,,,
159 LGV,1905,9.46,99,5.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
16 KBS,1929,9,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
16 LGV,1915,17.75,6,4.6,Cold,Cool,Cold,Careful,,,,,,,,,
160 KBS,1809,9.13,99,5.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
160 LGV,1864,10.02,12,5.2,Cold,Cool,Cold,Careful,,,,,,,,,
161 KBS,1939,9.5,99,5.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
161 LGV ,1943,14.13,99,7.9,Room,Room,Room,Unrestricted,,,,,,,,,
162 KBS,1898,13.47,99,4.9,Cold,Room,Cold,Unrestricted,,,,,,,,,
162 LGV,1959,14.81,99,4.9,Cold,Room,Cold,Unrestricted,,,,,,,,,
163 KBS,1929,13.23,99,4.8,Cold,Room,Cold,Unrestricted,,,,,,,,,
163 LGV,1902,11.74,99,6,Cool,Room,Cool,Unrestricted,,,,,,,,,
164 KBS,1916,8.69,99,4.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
164 LGV,1963,23.67,12,4.4,Cold,Cool,Cold,Careful,,,,,,,,,
165 KBS,1911,15.53,99,4.8,Cold,Room,Cold,Unrestricted,,,,,,,,,
165 LGV,1906,20.28,12,4.9,Cold,Cool,Cold,Careful,,,,,,,,,
166 KBS,1901,13.89,9,4.5,Cold,Cool,Cold,Careful,,,,,,,,,
166 LGV,1952,14.54,99,4.8,Cold,Room,Cold,Unrestricted,,,,,,,,,
167 KBS,1971,7.35,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
167 LGV,1872,14.84,9,6,Cool,Cool,Cool,Careful,,,,,,,,,
168 KBS,1833,14.32,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
168 LGV,1948,6.53,99,5.2,Cold,Room,Cold,Unrestricted,,,,,,,,,
169 KBS,1975,2.94,99,5.3,Cold,Room,Cold,Unrestricted,,,,,,,,,
169 LGV,1877,9.59,99,6.6,Cool,Room,Cool,Unrestricted,,,,,,,,,
17 KBS,1962,13.48,99,4.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
17 LGV,1948,11.37,6,5.1,Cold,Cool,Cold,Careful,,,,,,,,,
18 KBS,x,3.27,99,9.1,Room,Room,Room,Unrestricted,,,,,,,,,
18 LGV,1887,9.1,12,4.7,Cold,Cool,Cold,Careful,,,,,,,,,
19 KBS,1918,10.74,99,5.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
19 LGV,1890,13.57,12,4.7,Cold,Cool,Cold,Careful,,,,,,,,,
2 DNLB,1845,8.73,99,6,Cool,Room,Cool,Unrestricted,,,,,,,,,
2 KBS,1950,12.1,99,4.2,Cold,Room,Cold,Unrestricted,,,,,,,,,
2 LGV,1940,17.47,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
20 KBS,1944,7.3,99,5.4,Cold,Room,Cold,Unrestricted,,,,,,,,,
20 LGV,1925,14.67,99,4.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
21 KBS,1918,14.21,99,5.3,Cold,Room,Cold,Unrestricted,,,,,,,,,
21 LGV,1890,14.27,6,4.7,Cold,Cool,Cold,Careful,,,,,,,,,
22 KBS,1925,9.67,99,5.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
22 LGV,1860,9.64,99,5.9,Cool,Room,Cool,Unrestricted,,,,,,,,,
23 KBS,1980,0.54,99,7.8,Room,Room,Room,Unrestricted,,,,,,,,,
23 LGV,1924,11.13,99,6.2,Cool,Room,Cool,Unrestricted,,,,,,,,,
24 KBS,1982,6.86,99,6.5,Cool,Room,Cool,Unrestricted,,,,,,,,,
24 LGV,1907,9.7,99,5.4,Cold,Room,Cold,Unrestricted,,,,,,,,,
25 KBS,1982,15.79,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
25 LGV,1835,11.29,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
26 KBS,1985,9.29,99,6.7,Cool,Room,Cool,Unrestricted,,,,,,,,,
26 LGV,1917,10.5,99,4.3,Cold,Room,Cold,Unrestricted,,,,,,,,,
27 KBS,1979,3.71,99,5.2,Cold,Room,Cold,Unrestricted,,,,,,,,,
27 LGV,1873,16.98,3,4.8,Cold,Cold,Cold,None,,,,,,,,,
28 KBS,1971,3.79,99,4.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
28 LGV,1940,10.56,99,5.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
29 KBS,1962,14.76,99,5.2,Cold,Room,Cold,Unrestricted,,,,,,,,,
29 LGV,x,9.05,6,7.3,Room,Cool,Cool,Careful,,,,,,,,,
3 DNLB,1896,11.09,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
3 KBS,1822,10.08,99,5.8,Cool,Room,Cool,Unrestricted,,,,,,,,,
3 LGV,1905,13.15,12,5.1,Cold,Cool,Cold,Careful,,,,,,,,,
30 KBS,1962,12.11,99,5.3,Cold,Room,Cold,Unrestricted,,,,,,,,,
30 LGV,1876,12.65,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
31 KBS,1938,24.64,6,4.1,Freeze,Cool,Freeze,Careful,,,,,,,,,
31 LGV,1831,9.43,99,6.2,Cool,Room,Cool,Unrestricted,,,,,,,,,
32 KBS,1925,10.37,12,7.8,Room,Cool,Cool,Careful,,,,,,,,,
32 LGV,1818,6.84,99,8.2,Room,Room,Room,Unrestricted,,,,,,,,,
