54,1854,99,11.3,5.5
81,1817,99,13.63,5.5
111,1970,99,3.37,5.6
150,1924,99,10.84,5.6
158,1803,99,11.47,5.6
161,1939,99,9.5,5.6
4,1921,99,8.5,5.6
19,1918,99,10.74,5.6
90,1977,99,2.78,5.6
129,1875,99,10.79,5.6
154,1915,12,10.57,5.6
159,1905,99,9.46,5.6
106,1980,99,-0.29,5.7
143,1903,99,12.83,5.7
48,1861,99,10.65,5.7
140,1832,6,13.38,5.7
158,1876,6,12.52,5.7
172,1924,99,9.06,5.7
1,1887,9,11.97,5.7
10,1873,99,10.47,5.7
58,1857,99,10.8,5.7
63,1879,6,8.93,5.7
71,1816,99,11.49,5.7
147,1952,99,14.87,5.8
1,1804,99,7.7,5.8
37,1931,99,10.7,5.8
54,1813,99,10.31,5.8
63,1949,99,,5.8
69,1980,99,14.58,5.8
97,1974,99,3.21,5.8
89,1983,99,,5.8
111,1819,99,5.71,5.8
145,1888,3,13.2,5.8
15,1828,99,9.26,5.8
4,1824,99,16.54,5.8
39,1948,99,14.69,5.8
5,1800,99,11.95,5.9
210,1900,3,12.97,5.9
135,1911,99,15.59,5.9
179,1976,99,6.31,5.9
181,1977,99,7.16,5.9
22,1860,99,9.64,5.9
76,1836,3,15.46,5.9
107,1985,99,-0.85,6
129,1925,99,13.76,6
49,1914,99,8.42,6
189,1983,99,11.24,6
202,1953,99,9.12,6
163,1902,99,11.74,6
167,1872,9,14.84,6
2,1845,99,8.73,6
11,1824,99,13.05,6
43,1803,99,7.28,6
80,1968,99,7.64,6
52,1946,99,12.72,6.1
11,1826,99,12.3,6.1
140,1985,99,1.25,6.2
7,1916,99,6.31,6.2
12,1983,99,12.64,6.2
23,1924,99,11.13,6.2
31,1831,99,9.43,6.2
99,1964,99,1.99,6.3
105,1985,99,0.83,6.3
113,1985,99,1.33,6.3
78,1895,99,9.82,6.3
93,1985,99,0.2,6.3
7,1972,99,1.49,6.3
104,1945,99,13.2,6.4
36,1853,99,7.53,6.4
24,1982,99,6.86,6.5
106,1801,99,9.75,6.5
39,1926,99,13.49,6.6
75,1985,99,5.26,6.6
169,1877,99,9.59,6.6
26,1985,99,9.29,6.7
78,1854,99,9.17,6.7
83,1982,99,4.96,6.8
139,1859,99,5.58,6.9
57,1839,99,6.42,6.9
9,1880,99,12.52,7.1
84,1980,,9.9,7.2
29,,6,9.05,7.3
101,1852,99,7.18,7.4
194,1968,99,2.49,7.4
75,1847,99,5.18,7.5
86,1981,99,6.91,7.5
138,1860,3,13.16,7.7
83,1945,99,26.24,7.7
115,1985,99,2.37,7.8
23,1980,99,0.54,7.8
32,1925,12,10.37,7.8
95,1985,99,-2.26,7.8
126,1906,99,6.96,7.9
146,1983,99,-0.85,7.9
64,1984,99,1.47,7.9
188,1984,99,9.58,7.9
88,1984,99,2.18,7.9
161,1943,99,14.13,7.9
183,1979,99,1.38,7.9
82,1984,99,-1.11,7.9
116,1985,99,4.71,8
87,1985,99,-1.92,8
92,1984,99,3.59,8
96,1985,99,0.32,8
99,1980,99,0.47,8
114,1984,99,-0.86,8.1
159,1943,99,10.02,8.1
70,1973,99,-0.83,8.1
71,1984,99,-0.21,8.1
207,1942,99,13.78,8.1
102,1965,99,4.36,8.2
9,1985,99,1.01,8.2
32,1818,99,6.84,8.2
76,1981,99,4,8.7
43,1984,99,-0.89,8.8
73,1962,99,4.62,8.9
208,1942,99,6.09,8.9
18,,99,3.27,9.1
112,1984,99,-0.81,9.3
195,1973,99,1.8,9.3
3,1822,99,10.08,
6,1818,99,12.49,
139,1808,99,12.66,
10,1933,99,7.43,
317,1850,18,16.86,
225,1860,19,9.07,
233,1870,14,11.15,
258,1870,17,10.79,
307,1880,3,18.84,
318,1880,3,18.07,
315,1880,18,18.2,
313,1890,14,18.24,
361,1890,9,16.6,
362,1890,2,18.53,
352,1900,4,20.51,
355,1900,1,20.03,
204,1900,20,14.22,
256,1900,14,13.51,
312,1910,6,16.56,
333,1910,3,15.63,
351,1910,3,16.52,
340,1910,19,17.1,
324,1920,2,23.77,
326,1920,2,19.67,
337,1920,2,21.19,
336,1920,19,16.78,
349,1930,6,13.62,
332,1930,18,13.59,
343,1930,15,20.73,
349,1930,6,15.09,
218,1950,15,15.46,
222,1950,20,20.02,
209,1960,15,14.23,
252,1960,20,12.47,
253,1960,20,12.98,
203,1970,20,5.84,
270,1980,16,3.97,
273,1980,20,11.13,
